,price,bed_rooms,baths,half_baths,area,address,city,type
0,"$139,000",3,1,,"1,342",1307 W 2nd St,Rock Springs WY 82901,FOR SALE
1,"$245,000",3,1,1,,344 P Street,Rock Springs WY 82901,FOR SALE
2,"$225,000",5,1,1,,420 Soulsby,Rock Springs WY 82901,FOR SALE
3,"$325,000",3,2,1,,1225 Crown Point Way,Rock Springs WY 82901,FOR SALE
4,"$390,000",4,3,1,,340 Flagstone Drive,Rock Springs WY 82901,FOR SALE
5,"$127,500",2,1,,,821 Rugby,Rock Springs WY 82901,FOR SALE
6,"$990,999",4,5,2,"10,300",1129 Hilltop Drive,Rock Springs WY 82901,FOR SALE
